epoch,samples,wer,wer_norm,cer,cer_norm

0,256,5.3671875,0.8945312500000006,15.4921875,0.6455078125

1,256,5.10546875,0.8509114583333337,15.078125,0.6282552083333335

2,256,5.1875,0.8645833333333341,15.234375,0.634765625

3,256,4.578125,0.7630208333333333,13.12109375,0.5467122395833333

4,256,4.2734375,0.7122395833333329,11.80859375,0.49202473958333365

5,256,3.578125,0.5963541666666669,9.703125,0.40429687499999994

6,256,3.1171875,0.5195312499999999,8.0234375,0.33430989583333326

7,256,2.69921875,0.44986979166666613,6.43359375,0.26806640625

8,256,2.28515625,0.3808593750000001,5.16796875,0.21533203124999975

9,256,2.1171875,0.3528645833333331,4.5625,0.19010416666666638

10,256,1.83203125,0.30533854166666663,3.7578125,0.15657552083333318

11,256,1.58203125,0.2636718749999996,2.91796875,0.12158203125000025

12,256,1.46484375,0.2441406249999997,2.59765625,0.10823567708333348

13,256,1.23046875,0.2050781249999997,2.05859375,0.08577473958333343

14,256,1.1875,0.1979166666666665,1.84375,0.07682291666666664

15,256,1.1796875,0.196614583333333,2.046875,0.0852864583333334

16,256,1.078125,0.1796874999999999,1.76953125,0.07373046875000003

17,256,1.1640625,0.1940104166666666,1.95703125,0.08154296875000008

18,256,1.109375,0.18489583333333312,1.84765625,0.07698567708333344

19,256,0.984375,0.1640624999999999,1.63671875,0.06819661458333334

20,256,0.97265625,0.16210937499999986,1.6484375,0.06868489583333331

21,256,0.94140625,0.15690104166666666,1.4921875,0.06217447916666658

22,256,0.94921875,0.1582031249999998,1.54296875,0.06429036458333329

23,256,0.94140625,0.15690104166666674,1.53125,0.06380208333333327

24,256,0.96875,0.1614583333333331,1.5625,0.0651041666666666

25,256,0.92578125,0.1542968749999999,1.43359375,0.05973307291666661

26,256,0.93359375,0.1555989583333331,1.43359375,0.0597330729166666

27,256,0.9296875,0.15494791666666663,1.453125,0.060546874999999924

28,256,0.96875,0.16145833333333323,1.484375,0.06184895833333324

29,256,0.8984375,0.14973958333333326,1.45703125,0.06070963541666661

30,256,0.90234375,0.1503906249999999,1.4296875,0.05957031249999992

31,256,0.96875,0.16145833333333326,1.6640625,0.06933593749999994

32,256,0.87890625,0.14648437499999992,1.3984375,0.05826822916666663

33,256,0.8671875,0.1445312499999998,1.27734375,0.05322265624999995

34,256,0.84375,0.140625,1.359375,0.05664062499999995

35,256,0.83203125,0.138671875,1.375,0.05729166666666664

36,256,0.89453125,0.1490885416666666,1.4765625,0.06152343749999993

37,256,0.83984375,0.13997395833333318,1.31640625,0.05485026041666661

38,256,0.80859375,0.13476562499999992,1.265625,0.05273437499999993

39,256,0.7734375,0.1289062500000002,1.24609375,0.051920572916666616

40,256,0.7734375,0.12890625000000008,1.25390625,0.05224609374999994

41,256,0.78125,0.13020833333333348,1.2890625,0.05371093749999993

42,256,0.71484375,0.1191406250000002,1.1328125,0.047200520833333294

43,256,0.70703125,0.11783854166666688,1.0859375,0.04524739583333331

44,256,0.75,0.12500000000000022,1.20703125,0.05029296874999997

45,256,0.84375,0.140625,1.37109375,0.057128906249999944

46,256,0.71484375,0.1191406250000001,1.171875,0.04882812499999997

47,256,0.69921875,0.11653645833333352,1.11328125,0.04638671874999996

48,256,0.71875,0.11979166666666678,1.17578125,0.048990885416666616

49,256,0.6640625,0.11067708333333347,1.15234375,0.048014322916666644

50,256,0.73046875,0.12174479166666685,1.21875,0.050781249999999965

51,256,0.6015625,0.10026041666666677,1.00390625,0.04182942708333332

52,256,0.66796875,0.11132812500000011,1.15625,0.04817708333333333

53,256,0.71484375,0.11914062500000017,1.203125,0.0501302083333333

54,256,0.6484375,0.1080729166666668,1.01953125,0.04248046874999999

55,256,0.671875,0.11197916666666684,1.1328125,0.047200520833333294

56,256,0.65625,0.10937500000000014,1.0703125,0.04459635416666666

57,256,0.59765625,0.0996093750000001,0.99609375,0.041503906249999965

58,256,0.67578125,0.11263020833333347,1.125,0.046874999999999986

59,256,0.59375,0.09895833333333343,0.9296875,0.03873697916666665

60,256,0.609375,0.1015625000000001,0.97265625,0.04052734374999998

61,256,0.66796875,0.11132812500000017,1.09765625,0.04573567708333333

62,256,0.6328125,0.10546875000000012,1.05859375,0.044108072916666644

63,256,0.609375,0.1015625000000001,0.98046875,0.0408528645833333

64,256,0.62890625,0.10481770833333345,1.0390625,0.04329427083333332

65,256,0.58984375,0.0983072916666668,1.00390625,0.041829427083333315

66,256,0.60546875,0.10091145833333338,1.05078125,0.04378255208333329

67,256,0.5234375,0.08723958333333338,0.875,0.036458333333333315

68,256,0.6953125,0.11588541666666681,1.140625,0.04752604166666662

69,256,0.62890625,0.10481770833333347,1.07421875,0.044759114583333336
